EVENTS_Event_ID,EVENT_TYPE,Obs_Initials,TURTLEID,MOTOTOOL,TAG_NUM,EVENT_DATE,EVENT_TIME,ISLAND,Area,Site,EVENTS_GPS_WAYPT,EVENTS_GPS_unit,EVENTS_DATALOGGER,EVENTS_LAT_DD,EVENTS_LONG_DD,SPECIES_CODE,SEX,SCL_CM,SCW_CM,CCL_CM,CCW_CM,PLASTRON_LEN_CM,TAIL_LEN_CM,VENT_LEN_CM,Mass,TUMORS_YNU,TUMRNK,EMACIATION_CODE,DESCRIP,PHOTOS_Taken,SAMPLES_Taken,RELEASE_DATE,RELEASE_LOC,NECROPSY,HOOK,LINE,Fishing_Line_Severity,NET,BOAT_IMPACT,SHARK_ATTACK,HUMAN_TAKE,Capture_Platform,Capture_Method,EVENTS_Entry_completed_By,Validated_By,CLEANUP_NOTES,TURT_SEQ,CREATE_DTM,CREATED_BY,LAST_MOD_DTM,LAST_MOD_BY,WEIGHT_LB,TAG_INFO,PAINT,Survey_HeaderID,Release_LAT_DD,Release_LONG_DD,Turtle_Num_of_Day,Videos_Taken,Validated_Date,RELEASE_GPS_WAYPT,Release_GPS_unit,RELEASE_TIME,Missing_Body_Part,Project_Code_ID,Lavage,Ultrasound,Tetracycline_Injection,Tetracycline_left_shoulder,Tetracycline_right_shoulder,Tetracycline_Total,Laparoscopy,Nesting_Activity,SCL_est,SCW_est,CCL_est,CCW_est,PLASTRON_LEN_est,TAIL_LEN_est,VENT_LEN_est,Mass_est,Maturity_State_ID,NEW_TAG_INFO,ID,Nestings_Event_ID,Nestings_Entry_completed_By,Time,ACTIVITY,Nestings_GPS_WAYPT,Nestings_GPS_unit,Nestings_DATALOGGER,Nest_Marker,Turtle_Observed,Num_of_Eggs,Site_Sector,Nestings_LAT_DD,Nestings_LONG_DD,Data_Logger_Type,Nest_ID
240135,7,"ATG, SKI",20230607FFNE214T,214T,,6/7/2023,,FFS,Tern,,,,,,,Cm,F,,,,,,,,,,,,,FALSE,FALSE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,2/6/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40622,240135,,1/0/1900,2,,,,,TRUE,,3 Sector,,,,
240135,7,"ATG, SKI",20230607FFNE214T,214T,,6/7/2023,,FFS,Tern,,,,,,,Cm,F,,,,,,,,,,,,,FALSE,FALSE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,2/6/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40623,240135,,1/0/1900,2,,,,,TRUE,,3 Sector,,,,
240136,7,"ATG, SKI",20230607FFNE215T,215T,,6/7/2023,,FFS,Tern,,,,,,,Cm,F,,,,,,,,,,,,No old tags found,FALSE,FALSE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,2/6/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40624,240136,,1/0/1900,1,,,,,TRUE,,6 Sector,,,,
240137,7,"ATG, SKI",20170607TENET141,221T,,6/8/2023,,FFS,Tern,,,,,,,Cm,F,,,,,,,,,,,,No old tags found,FALSE,FALSE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,2/7/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40625,240137,,1/0/1900,2,,,,,TRUE,,4 Sector,,,,
240137,7,"ATG, SKI",20170607TENET141,221T,,6/8/2023,,FFS,Tern,,,,,,,Cm,F,,,,,,,,,,,,No old tags found,FALSE,FALSE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,2/7/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40626,240137,,1/0/1900,2,,,,,TRUE,,4 Sector,,,,
240137,7,"ATG, SKI",20170607TENET141,221T,,6/8/2023,,FFS,Tern,,,,,,,Cm,F,,,,,,,,,,,,No old tags found,FALSE,FALSE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,2/7/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40627,240137,,1/0/1900,1,,,,,TRUE,,4 Sector,,,,
240137,7,"ATG, SKI",20170607TENET141,221T,,6/8/2023,,FFS,Tern,,,,,,,Cm,F,,,,,,,,,,,,No old tags found,FALSE,FALSE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,2/7/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40628,240137,,1/0/1900,1,,,,,TRUE,,4 Sector,,,,
240137,7,"ATG, SKI",20170607TENET141,221T,,6/8/2023,,FFS,Tern,,,,,,,Cm,F,,,,,,,,,,,,No old tags found,FALSE,FALSE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,2/7/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40629,240137,,1/0/1900,2,,,,,TRUE,,4 Sector,,,,
240137,7,"ATG, SKI",20170607TENET141,221T,,6/8/2023,,FFS,Tern,,,,,,,Cm,F,,,,,,,,,,,,No old tags found,FALSE,FALSE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,2/7/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40630,240137,,1/0/1900,3,,,,,TRUE,,4 Sector,,,,
240137,7,"ATG, SKI",20170607TENET141,221T,,6/8/2023,,FFS,Tern,,,,,,,Cm,F,,,,,,,,,,,,No old tags found,FALSE,FALSE,,,FALSE,,,,,,,,,,ATG,SKI,,,7/3/2023,,,,,,,,,,,FALSE,2/7/2024,,,,FALSE,,FALSE,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,40631,240137,,1/0/1900,2,,,,,TRUE,,4 Sector,,,,
